,    Civilian noninstitutionalized population,        With health insurance coverage,            With private health insurance,            With public coverage,        No health insurance coverage,    Civilian noninstitutionalized population under 19 years,        No health insurance coverage,    Civilian noninstitutionalized population 19 to 64 years,        In labor force:,            Employed:,                With health insurance coverage,                    With private health insurance,                    With public coverage,                No health insurance coverage,            Unemployed:,                With health insurance coverage,                    With private health insurance,                    With public coverage,                No health insurance coverage,        Not in labor force:,            With health insurance coverage,                With private health insurance,                With public coverage,            No health insurance coverage
Georgia,"10,420,412",86.6%,65.8%,31.4%,13.4%,"2,661,991",7.4%,"6,265,771","4,847,028","4,626,876",83.6%,80.0%,6.0%,16.4%,"220,152",54.5%,37.9%,19.7%,45.5%,"1,418,743",77.0%,50.8%,33.6%,23.0%
Hawaii,"1,358,715",95.8%,76.1%,36.3%,4.2%,"315,053",2.8%,"778,070","623,761","601,977",95.8%,88.6%,10.5%,4.2%,"21,784",78.1%,42.5%,39.1%,21.9%,"154,309",89.7%,57.4%,40.3%,10.3%
Idaho,"1,764,911",89.2%,70.0%,32.5%,10.8%,"474,852",5.0%,"1,006,189","793,027","768,626",84.7%,81.0%,6.5%,15.3%,"24,401",60.2%,47.4%,18.0%,39.8%,"213,162",81.6%,59.0%,32.5%,18.4%
Illinois,"12,488,377",92.6%,70.1%,33.5%,7.4%,"2,981,525",4.0%,"7,525,174","6,045,020","5,761,532",90.8%,82.9%,9.7%,9.2%,"283,488",77.7%,41.1%,38.5%,22.3%,"1,480,154",87.0%,53.1%,38.9%,13.0%
Indiana,"6,631,529",91.3%,69.5%,33.7%,8.7%,"1,663,849",7.1%,"3,920,002","3,095,673","2,972,036",89.7%,82.8%,9.0%,10.3%,"123,637",69.7%,39.7%,32.0%,30.3%,"824,329",86.6%,50.2%,43.3%,13.4%
Iowa,"3,111,914",95.0%,73.2%,36.1%,5.0%,"765,322",2.9%,"1,815,087","1,514,455","1,463,355",93.4%,85.1%,11.3%,6.6%,"51,100",82.6%,42.1%,45.4%,17.4%,"300,632",91.2%,54.2%,45.4%,8.8%
Kansas,"2,851,831",90.8%,74.4%,29.6%,9.2%,"739,651",5.8%,"1,652,156","1,356,624","1,308,834",88.8%,85.7%,5.7%,11.2%,"47,790",61.6%,46.4%,18.7%,38.4%,"295,532",82.4%,57.5%,32.9%,17.6%
Kentucky,"4,384,896",93.6%,63.7%,43.2%,6.4%,"1,058,586",4.3%,"2,594,796","1,907,768","1,820,056",91.4%,80.3%,14.0%,8.6%,"87,712",75.4%,31.0%,47.2%,24.6%,"687,028",91.7%,40.1%,59.7%,8.3%
Louisiana,"4,539,690",91.1%,57.8%,44.3%,8.9%,"1,148,751",4.4%,"2,668,199","1,964,934","1,858,980",87.5%,74.6%,15.7%,12.5%,"105,954",70.8%,24.0%,49.9%,29.2%,"703,265",87.7%,39.7%,54.5%,12.3%
Maine,"1,327,623",92.0%,69.5%,38.6%,8.0%,"261,737",5.6%,"788,302","627,678","608,001",88.9%,82.1%,10.0%,11.1%,"19,677",70.4%,37.2%,38.2%,29.6%,"160,624",88.5%,47.6%,51.8%,11.5%
Maryland,"5,945,846",94.0%,74.0%,33.5%,6.0%,"1,410,735",3.4%,"3,597,998","2,954,830","2,827,286",92.5%,84.4%,10.8%,7.5%,"127,544",83.2%,47.3%,39.5%,16.8%,"643,168",89.7%,56.8%,41.4%,10.3%
Massachusetts,"6,820,969",97.0%,74.3%,36.1%,3.0%,"1,446,247",1.5%,"4,238,020","3,483,935","3,352,760",96.2%,84.8%,14.1%,3.8%,"131,175",88.5%,47.7%,45.5%,11.5%,"754,085",95.3%,56.0%,47.2%,4.7%
Michigan,"9,879,486",94.2%,71.0%,38.8%,5.8%,"2,280,491",3.4%,"5,869,012","4,568,638","4,348,345",92.1%,82.2%,12.5%,7.9%,"220,293",81.9%,37.2%,48.5%,18.1%,"1,300,374",92.0%,51.9%,49.1%,8.0%
Minnesota,"5,580,828",95.1%,75.9%,32.9%,4.9%,"1,378,383",3.1%,"3,310,523","2,824,842","2,741,396",93.8%,85.0%,11.0%,6.2%,"83,446",82.8%,44.0%,41.3%,17.2%,"485,681",91.0%,56.4%,41.6%,9.0%
Mississippi,"2,904,609",87.0%,58.7%,39.4%,13.0%,"744,641",6.1%,"1,686,473","1,213,292","1,137,828",83.8%,79.5%,6.6%,16.2%,"75,464",48.8%,26.6%,23.9%,51.2%,"473,181",77.4%,40.4%,43.9%,22.6%
Missouri,"6,020,665",90.0%,69.7%,32.2%,10.0%,"1,446,554",6.5%,"3,551,930","2,782,370","2,683,417",88.0%,84.3%,5.9%,12.0%,"98,953",57.0%,39.6%,18.8%,43.0%,"769,560",81.9%,50.8%,38.5%,18.1%
Montana,"1,053,646",91.7%,66.3%,40.6%,8.3%,"241,743",6.2%,"608,703","483,479","465,654",89.1%,78.5%,14.6%,10.9%,"17,825",74.2%,38.3%,39.6%,25.8%,"125,224",87.0%,53.2%,42.1%,13.0%
Nebraska,"1,904,211",91.7%,75.2%,28.3%,8.3%,"502,094",5.7%,"1,101,127","938,320","911,179",90.5%,87.4%,5.7%,9.5%,"27,141",55.3%,41.7%,16.9%,44.7%,"162,807",81.1%,55.4%,33.1%,18.9%
Nevada,"3,043,419",88.6%,65.0%,33.8%,11.4%,"724,678",8.0%,"1,824,973","1,438,511","1,371,015",85.6%,78.4%,9.9%,14.4%,"67,496",74.8%,41.9%,37.3%,25.2%,"386,462",82.0%,48.0%,40.6%,18.0%
New Hampshire,"1,343,337",93.7%,75.6%,32.1%,6.3%,"276,888",3.7%,"821,002","678,061","658,947",91.3%,85.7%,7.7%,8.7%,"19,114",80.9%,48.5%,35.2%,19.1%,"142,941",91.1%,57.4%,40.7%,8.9%
New Jersey,"8,775,976",92.1%,71.7%,31.7%,7.9%,"2,041,577",4.3%,"5,298,118","4,296,364","4,103,260",89.9%,82.8%,8.6%,10.1%,"193,104",76.3%,49.3%,29.1%,23.7%,"1,001,754",87.1%,56.6%,36.7%,12.9%
New Mexico,"2,058,918",90.0%,53.7%,50.1%,10.0%,"501,566",5.7%,"1,184,202","869,554","823,367",86.0%,68.0%,22.6%,14.0%,"46,187",81.9%,29.0%,57.8%,18.1%,"314,648",84.2%,36.7%,54.8%,15.8%
New York,"19,212,803",94.8%,67.5%,39.6%,5.2%,"4,264,419",2.4%,"11,747,956","9,232,912","8,837,878",92.8%,80.1%,15.2%,7.2%,"395,034",86.1%,42.6%,47.9%,13.9%,"2,515,044",92.4%,49.4%,50.8%,7.6%
North Carolina,"10,281,062",88.7%,66.6%,34.9%,11.3%,"2,454,735",5.8%,"6,114,454","4,718,533","4,514,030",85.2%,80.8%,7.1%,14.8%,"204,503",60.6%,40.2%,24.1%,39.4%,"1,395,921",81.6%,51.9%,38.3%,18.4%
North Dakota,"744,172",93.1%,79.1%,27.2%,6.9%,"187,129",7.8%,"443,254","377,629","368,056",93.1%,88.3%,7.8%,6.9%,"9,573",72.8%,41.3%,32.7%,27.2%,"65,625",87.5%,60.6%,33.5%,12.5%
Ohio,"11,514,951",93.4%,68.9%,37.2%,6.6%,"2,736,050",4.8%,"6,805,339","5,396,627","5,164,256",91.8%,82.4%,11.8%,8.2%,"232,371",79.0%,36.3%,45.5%,21.0%,"1,408,712",89.7%,48.3%,47.4%,10.3%
Oklahoma,"3,871,658",85.7%,63.9%,34.5%,14.3%,"1,005,168",8.6%,"2,250,687","1,700,278","1,629,189",82.8%,79.4%,6.5%,17.2%,"71,089",50.7%,34.4%,18.3%,49.3%,"550,409",73.3%,44.9%,34.5%,26.7%
Oregon,"4,175,002",92.8%,68.0%,38.5%,7.2%,"914,386",4.1%,"2,503,675","1,970,877","1,878,826",90.2%,80.7%,12.7%,9.8%,"92,051",80.7%,41.6%,44.4%,19.3%,"532,798",89.5%,50.2%,47.1%,10.5%
Pennsylvania,"12,593,136",94.2%,71.9%,37.6%,5.8%,"2,803,506",4.6%,"7,480,670","5,933,116","5,676,182",92.9%,84.7%,10.6%,7.1%,"256,934",81.6%,43.2%,42.5%,18.4%,"1,547,554",91.2%,53.3%,46.7%,8.8%
Rhode Island,"1,043,753",95.9%,73.3%,36.2%,4.1%,"220,276",1.9%,"642,936","516,356","496,122",94.1%,84.9%,11.6%,5.9%,"20,234",87.0%,52.2%,37.2%,13.0%,"126,580",95.3%,53.6%,53.1%,4.7%
South Carolina,"5,048,513",89.2%,66.3%,37.1%,10.8%,"1,181,973",5.8%,"2,949,479","2,249,011","2,149,986",85.9%,80.8%,8.1%,14.1%,"99,025",60.4%,39.5%,23.9%,39.6%,"700,468",81.0%,49.9%,40.2%,19.0%
South Dakota,"867,305",89.8%,71.8%,30.7%,10.2%,"226,171",7.8%,"493,709","413,753","401,515",88.0%,84.3%,6.7%,12.0%,"12,238",50.0%,32.5%,17.9%,50.0%,"79,956",80.2%,52.6%,35.3%,19.8%
Tennessee,"6,719,315",89.9%,66.1%,36.2%,10.1%,"1,600,213",5.0%,"4,007,815","3,072,311","2,940,866",87.4%,81.1%,8.9%,12.6%,"131,445",59.9%,35.8%,27.1%,40.1%,"935,504",81.7%,47.0%,42.9%,18.3%
Texas,"28,514,428",81.6%,61.8%,28.3%,18.4%,"7,808,139",12.7%,"17,052,965","13,342,942","12,791,047",78.3%,75.1%,5.2%,21.7%,"551,895",51.0%,38.5%,15.3%,49.0%,"3,710,023",69.8%,48.1%,26.9%,30.2%
Utah,"3,178,394",90.3%,78.5%,20.7%,9.7%,"982,566",8.3%,"1,834,209","1,497,932","1,457,228",89.1%,86.2%,4.7%,10.9%,"40,704",66.3%,54.4%,13.2%,33.7%,"336,277",85.4%,68.3%,22.9%,14.6%
Vermont,"618,064",95.5%,68.8%,42.0%,4.5%,"124,542",2.1%,"371,655","300,835","290,772",93.1%,80.8%,14.8%,6.9%,"10,063",91.5%,42.0%,51.3%,8.5%,"70,820",94.4%,47.6%,53.8%,5.6%
Virginia,"8,303,671",92.1%,74.6%,30.7%,7.9%,"1,975,387",4.9%,"4,996,695","4,005,095","3,855,543",90.1%,85.2%,8.0%,9.9%,"149,552",71.4%,45.9%,28.3%,28.6%,"991,600",87.2%,58.7%,35.5%,12.8%
Washington,"7,497,453",93.4%,71.1%,35.2%,6.6%,"1,757,459",3.1%,"4,552,682","3,623,271","3,467,469",91.3%,83.6%,10.7%,8.7%,"155,802",79.8%,44.4%,38.9%,20.2%,"929,411",89.2%,54.4%,42.0%,10.8%
West Virginia,"1,762,052",93.3%,62.6%,47.5%,6.7%,"380,871",3.5%,"1,022,840","719,309","676,764",90.2%,77.5%,16.1%,9.8%,"42,545",76.5%,31.0%,48.1%,23.5%,"303,531",91.3%,43.7%,57.9%,8.7%
Wisconsin,"5,751,404",94.3%,74.3%,33.2%,5.7%,"1,344,601",3.8%,"3,413,423","2,814,889","2,731,031",92.8%,86.4%,8.5%,7.2%,"83,858",78.4%,45.0%,37.6%,21.6%,"598,534",90.2%,54.8%,43.2%,9.8%
Wyoming,"568,859",87.7%,71.6%,29.2%,12.3%,"143,312",10.6%,"329,365","265,776","256,876",84.1%,80.5%,6.3%,15.9%,"8,900",68.1%,51.0%,18.7%,31.9%,"63,589",82.6%,60.4%,29.7%,17.4%
