,    Population 16 years and over,        In labor force,            Civilian labor force,                Employed,                Unemployed,            Armed Forces,        Not in labor force,    Civilian labor force,        Unemployment Rate,    Females 16 years and over,        In labor force,            Civilian labor force,                Employed,    Own children of the householder under 6 years,        All parents in family in labor force,    Own children of the householder 6 to 17 years,        All parents in family in labor force
Montana,"869,402",62.7%,62.4%,59.8%,2.5%,0.4%,37.3%,"542,265",4.1%,"434,747",59.1%,58.9%,56.8%,"65,650",67.3%,"144,717",73.0%
Nebraska,"1,509,290",69.5%,69.1%,66.8%,2.3%,0.4%,30.5%,"1,043,090",3.3%,"761,559",64.7%,64.6%,62.7%,"149,576",76.2%,"299,354",81.0%
Nevada,"2,465,233",63.6%,63.2%,60.0%,3.2%,0.4%,36.4%,"1,558,868",5.1%,"1,234,632",58.3%,58.1%,55.4%,"211,581",63.9%,"441,272",71.9%
New Hampshire,"1,137,316",66.8%,66.7%,64.7%,2.0%,0.2%,33.2%,"758,102",3.0%,"577,553",62.4%,62.4%,60.7%,"73,712",74.4%,"168,678",78.7%
New Jersey,"7,168,432",66.0%,65.8%,62.7%,3.1%,0.2%,34.0%,"4,717,175",4.7%,"3,702,410",60.8%,60.7%,58.0%,"593,645",70.6%,"1,272,934",73.6%
New Mexico,"1,678,187",58.0%,57.2%,54.1%,3.1%,0.7%,42.0%,"960,264",5.5%,"855,331",53.5%,53.2%,50.5%,"135,114",62.8%,"306,294",68.2%
New York,"15,895,561",63.4%,63.3%,60.5%,2.8%,0.2%,36.6%,"10,056,194",4.4%,"8,270,431",59.3%,59.3%,56.8%,"1,273,622",68.9%,"2,533,916",71.2%
North Carolina,"8,457,219",62.3%,61.2%,58.4%,2.8%,1.2%,37.7%,"5,174,709",4.6%,"4,401,459",57.6%,57.4%,54.8%,"683,764",67.3%,"1,479,224",73.1%
North Dakota,"602,982",70.4%,69.1%,67.3%,1.8%,1.3%,29.6%,"416,619",2.6%,"296,049",65.2%,64.6%,63.0%,"59,134",76.1%,"110,341",83.7%
Ohio,"9,407,641",63.5%,63.4%,60.5%,2.9%,0.1%,36.5%,"5,965,597",4.6%,"4,844,046",59.3%,59.2%,56.6%,"786,440",68.6%,"1,631,303",74.3%
Oklahoma,"3,110,626",60.9%,60.2%,57.6%,2.6%,0.7%,39.1%,"1,872,933",4.4%,"1,584,366",55.8%,55.6%,53.2%,"287,218",63.2%,"598,169",70.5%
Oregon,"3,451,654",62.5%,62.4%,59.3%,3.1%,0.2%,37.5%,"2,153,329",5.0%,"1,755,200",58.6%,58.5%,55.8%,"260,418",67.2%,"555,351",72.2%
Pennsylvania,"10,474,419",62.9%,62.8%,60.0%,2.8%,0.1%,37.1%,"6,580,742",4.5%,"5,395,473",58.6%,58.6%,56.1%,"800,200",70.8%,"1,686,674",74.1%
Rhode Island,"880,978",65.3%,64.9%,62.2%,2.7%,0.4%,34.7%,"572,113",4.2%,"454,866",61.5%,61.4%,59.4%,"62,009",78.5%,"133,566",79.0%
South Carolina,"4,158,317",60.4%,59.5%,56.7%,2.8%,0.9%,39.6%,"2,475,751",4.7%,"2,175,978",56.0%,55.6%,53.0%,"321,117",68.9%,"706,730",73.9%
South Dakota,"692,113",67.9%,67.5%,65.4%,2.0%,0.4%,32.1%,"467,008",3.0%,"344,611",64.1%,64.0%,62.8%,"68,351",73.8%,"132,478",80.1%
Tennessee,"5,487,875",61.7%,61.4%,58.6%,2.8%,0.4%,38.3%,"3,367,774",4.5%,"2,841,564",57.4%,57.3%,54.6%,"457,043",65.4%,"943,915",72.9%
Texas,"22,425,612",65.0%,64.5%,61.7%,2.8%,0.5%,35.0%,"14,465,653",4.4%,"11,383,962",58.4%,58.2%,55.6%,"2,281,869",62.7%,"4,734,548",68.7%
Utah,"2,378,652",69.7%,69.4%,67.2%,2.2%,0.3%,30.3%,"1,650,952",3.2%,"1,190,909",62.6%,62.5%,60.5%,"290,991",54.2%,"608,753",64.9%
Vermont,"525,153",65.4%,65.3%,63.1%,2.2%,0.1%,34.6%,"342,799",3.4%,"267,514",62.2%,62.2%,60.3%,"32,413",78.8%,"75,451",82.2%
Virginia,"6,880,704",66.0%,64.0%,61.5%,2.6%,1.9%,34.0%,"4,404,927",4.0%,"3,529,616",61.7%,61.0%,58.5%,"571,960",70.5%,"1,183,421",75.6%
Washington,"6,128,444",65.1%,64.1%,61.2%,2.9%,1.0%,34.9%,"3,928,762",4.6%,"3,080,264",59.3%,59.0%,56.2%,"526,276",63.4%,"1,058,120",70.8%
West Virginia,"1,476,688",53.8%,53.7%,50.4%,3.2%,0.2%,46.2%,"792,405",6.0%,"752,711",49.4%,49.4%,46.8%,"101,267",59.1%,"220,326",65.9%
Wisconsin,"4,707,424",65.9%,65.9%,63.8%,2.1%,0.1%,34.1%,"3,100,947",3.2%,"2,383,333",62.6%,62.6%,60.8%,"378,939",74.7%,"824,576",79.0%
Wyoming,"458,477",64.8%,64.2%,61.9%,2.3%,0.6%,35.2%,"294,289",3.6%,"225,033",60.4%,60.2%,58.2%,"38,494",63.0%,"87,149",79.7%
