,    Total households,"        Less than $10,000","        $10,000 to $14,999","        $15,000 to $24,999","        $25,000 to $34,999","        $35,000 to $49,999","        $50,000 to $74,999","        $75,000 to $99,999","        $100,000 to $149,999","        $150,000 to $199,999","        $200,000 or more",        Median household income (dollars),        Mean household income (dollars),        With earnings,            Mean earnings (dollars),        With Social Security,            Mean Social Security income (dollars),        With retirement income,            Mean retirement income (dollars),        With Supplemental Security Income,            Mean Supplemental Security Income (dollars),        With cash public assistance income,            Mean cash public assistance income (dollars),        With Food Stamp/SNAP benefits in the past 12 months,    Families,"        Less than $10,000","        $10,000 to $14,999","        $15,000 to $24,999","        $25,000 to $34,999","        $35,000 to $49,999","        $50,000 to $74,999","        $75,000 to $99,999","        $100,000 to $149,999","        $150,000 to $199,999","        $200,000 or more",        Median family income (dollars),        Mean family income (dollars),    Per capita income (dollars),    Nonfamily households,        Median nonfamily income (dollars),        Mean nonfamily income (dollars),    Median earnings for workers (dollars),"    Median earnings for male full-time, year-round workers (dollars)","    Median earnings for female full-time, year-round workers (dollars)"
Georgia,"3,852,714",6.2%,4.3%,8.8%,8.9%,12.4%,18.3%,12.7%,14.8%,6.3%,7.3%,(X),(X),78.9%,(X),29.7%,(X),22.6%,(X),5.4%,(X),1.4%,(X),11.2%,"2,555,440",3.7%,2.2%,6.6%,7.7%,11.3%,18.6%,14.2%,18.1%,8.1%,9.6%,(X),(X),(X),"1,297,274",(X),(X),(X),(X),(X)
Hawaii,"465,299",5.0%,2.6%,5.9%,6.4%,8.7%,16.8%,13.5%,19.9%,10.3%,10.9%,(X),(X),79.8%,(X),36.8%,(X),31.0%,(X),3.7%,(X),2.5%,(X),10.4%,"316,206",3.0%,1.2%,3.8%,4.9%,8.0%,16.3%,14.6%,23.1%,12.4%,12.7%,(X),(X),(X),"149,093",(X),(X),(X),(X),(X)
Idaho,"655,859",4.2%,3.7%,9.1%,9.6%,13.2%,20.7%,14.2%,15.0%,5.2%,5.0%,(X),(X),77.9%,(X),32.1%,(X),25.5%,(X),4.5%,(X),2.3%,(X),8.3%,"448,979",2.3%,1.7%,6.2%,7.5%,12.4%,21.5%,16.4%,18.7%,6.8%,6.6%,(X),(X),(X),"206,880",(X),(X),(X),(X),(X)
Illinois,"4,866,006",5.9%,3.7%,8.0%,8.0%,11.4%,16.5%,12.8%,16.9%,7.8%,9.0%,(X),(X),77.8%,(X),29.5%,(X),24.2%,(X),4.5%,(X),2.0%,(X),11.8%,"3,059,067",2.9%,1.8%,5.2%,6.2%,10.0%,16.0%,14.1%,21.1%,10.3%,12.3%,(X),(X),(X),"1,806,939",(X),(X),(X),(X),(X)
Indiana,"2,597,765",5.9%,4.0%,9.4%,9.8%,13.8%,19.4%,12.9%,14.7%,5.4%,4.7%,(X),(X),77.5%,(X),32.3%,(X),25.3%,(X),5.1%,(X),1.6%,(X),8.5%,"1,639,230",3.2%,1.9%,5.3%,7.7%,12.1%,20.6%,15.7%,19.5%,7.5%,6.5%,(X),(X),(X),"958,535",(X),(X),(X),(X),(X)
Iowa,"1,287,221",5.1%,4.1%,8.4%,9.1%,13.5%,19.5%,14.1%,15.8%,5.5%,5.0%,(X),(X),78.0%,(X),31.7%,(X),24.3%,(X),3.9%,(X),1.8%,(X),9.5%,"808,802",2.8%,2.0%,4.6%,6.3%,11.8%,20.1%,16.9%,20.7%,7.7%,7.0%,(X),(X),(X),"478,419",(X),(X),(X),(X),(X)
Kansas,"1,138,329",5.1%,4.3%,8.3%,8.9%,13.3%,19.3%,13.6%,15.4%,5.8%,5.9%,(X),(X),79.0%,(X),31.3%,(X),24.2%,(X),4.0%,(X),1.5%,(X),7.0%,"733,489",2.7%,2.0%,5.1%,6.7%,11.3%,19.4%,16.1%,20.5%,7.9%,8.3%,(X),(X),(X),"404,840",(X),(X),(X),(X),(X)
Kentucky,"1,748,732",7.9%,5.5%,10.8%,10.0%,13.4%,18.4%,12.4%,12.8%,4.7%,4.1%,(X),(X),72.6%,(X),36.1%,(X),25.7%,(X),7.5%,(X),1.7%,(X),11.9%,"1,129,276",5.1%,2.9%,7.5%,8.4%,13.0%,19.7%,15.1%,16.6%,6.3%,5.6%,(X),(X),(X),"619,456",(X),(X),(X),(X),(X)
Louisiana,"1,741,076",10.1%,5.7%,11.3%,9.9%,11.9%,16.3%,11.6%,13.0%,5.2%,5.0%,(X),(X),74.1%,(X),32.1%,(X),22.3%,(X),6.9%,(X),1.8%,(X),14.4%,"1,113,831",6.0%,3.2%,9.5%,8.5%,11.8%,16.7%,14.1%,16.5%,7.0%,6.7%,(X),(X),(X),"627,245",(X),(X),(X),(X),(X)
Maine,"573,618",5.1%,4.7%,9.5%,9.7%,13.7%,18.5%,13.7%,14.6%,5.5%,5.2%,(X),(X),73.4%,(X),38.2%,(X),27.9%,(X),6.1%,(X),2.4%,(X),12.3%,"342,894",2.6%,1.5%,5.4%,7.5%,12.1%,19.7%,16.9%,19.4%,7.5%,7.4%,(X),(X),(X),"230,724",(X),(X),(X),(X),(X)
Maryland,"2,226,767",4.8%,2.6%,5.6%,6.3%,9.0%,15.2%,13.1%,19.3%,10.4%,13.6%,(X),(X),80.6%,(X),29.2%,(X),27.2%,(X),4.4%,(X),2.2%,(X),9.8%,"1,462,070",2.6%,1.2%,3.4%,4.7%,7.6%,14.0%,13.3%,22.0%,13.1%,18.1%,(X),(X),(X),"764,697",(X),(X),(X),(X),(X)
Massachusetts,"2,650,680",5.1%,3.9%,6.5%,6.1%,8.8%,14.1%,12.0%,18.1%,10.8%,14.6%,(X),(X),78.7%,(X),30.4%,(X),23.1%,(X),5.7%,(X),2.8%,(X),11.2%,"1,665,005",2.6%,1.7%,3.7%,4.9%,7.6%,12.9%,12.3%,21.3%,13.6%,19.4%,(X),(X),(X),"985,675",(X),(X),(X),(X),(X)
Michigan,"3,969,880",6.2%,4.1%,9.0%,9.7%,13.3%,18.6%,13.1%,14.5%,5.9%,5.7%,(X),(X),74.2%,(X),35.1%,(X),28.8%,(X),6.0%,(X),2.2%,(X),11.7%,"2,496,550",3.4%,2.3%,5.5%,7.5%,11.7%,19.1%,15.5%,18.9%,8.1%,8.0%,(X),(X),(X),"1,473,330",(X),(X),(X),(X),(X)
Minnesota,"2,222,568",4.1%,3.4%,6.5%,7.2%,11.3%,17.6%,14.5%,18.5%,8.3%,8.5%,(X),(X),79.7%,(X),29.5%,(X),24.0%,(X),4.1%,(X),3.0%,(X),7.4%,"1,401,623",1.9%,1.4%,3.6%,5.4%,8.6%,16.4%,16.2%,23.3%,11.4%,11.8%,(X),(X),(X),"820,945",(X),(X),(X),(X),(X)
Mississippi,"1,100,229",9.3%,6.6%,12.5%,11.2%,13.7%,17.4%,11.2%,10.9%,4.0%,3.2%,(X),(X),72.4%,(X),36.0%,(X),23.5%,(X),7.3%,(X),1.8%,(X),13.5%,"718,382",5.7%,3.5%,9.5%,9.5%,14.3%,19.5%,13.7%,14.4%,5.6%,4.3%,(X),(X),(X),"381,847",(X),(X),(X),(X),(X)
Missouri,"2,458,337",6.3%,4.5%,9.7%,9.5%,13.6%,18.7%,12.9%,14.3%,5.3%,5.1%,(X),(X),75.4%,(X),33.2%,(X),25.6%,(X),5.5%,(X),1.5%,(X),10.2%,"1,546,045",3.4%,2.2%,6.3%,7.3%,12.3%,19.7%,15.5%,19.0%,7.3%,7.1%,(X),(X),(X),"912,292",(X),(X),(X),(X),(X)
Montana,"437,651",5.4%,4.9%,10.1%,9.1%,14.4%,18.7%,13.4%,14.4%,5.3%,4.3%,(X),(X),75.7%,(X),35.1%,(X),25.3%,(X),3.7%,(X),2.6%,(X),8.7%,"269,009",2.7%,2.1%,6.3%,6.7%,13.3%,20.3%,16.3%,19.1%,6.8%,6.3%,(X),(X),(X),"168,642",(X),(X),(X),(X),(X)
Nebraska,"771,444",4.8%,3.9%,8.0%,8.7%,13.3%,19.5%,14.4%,15.9%,6.1%,5.4%,(X),(X),80.7%,(X),29.4%,(X),21.0%,(X),4.0%,(X),1.6%,(X),7.6%,"493,013",2.2%,1.7%,4.6%,6.2%,11.5%,19.9%,17.1%,21.1%,8.5%,7.2%,(X),(X),(X),"278,431",(X),(X),(X),(X),(X)
Nevada,"1,143,557",6.0%,3.9%,7.9%,8.1%,13.0%,18.7%,13.9%,15.9%,6.1%,6.4%,(X),(X),76.8%,(X),30.8%,(X),24.5%,(X),4.0%,(X),2.6%,(X),10.5%,"723,755",3.2%,2.2%,5.6%,7.1%,12.1%,18.9%,16.0%,19.1%,7.5%,8.2%,(X),(X),(X),"419,802",(X),(X),(X),(X),(X)
New Hampshire,"541,396",3.9%,3.1%,6.5%,6.8%,11.0%,16.9%,14.1%,18.7%,9.2%,9.8%,(X),(X),78.6%,(X),34.2%,(X),26.7%,(X),3.9%,(X),2.2%,(X),6.0%,"346,413",1.6%,1.2%,3.5%,4.5%,9.2%,15.7%,15.9%,23.1%,12.0%,13.3%,(X),(X),(X),"194,983",(X),(X),(X),(X),(X)
New Jersey,"3,286,264",4.7%,2.9%,6.2%,6.4%,9.0%,15.0%,12.2%,18.1%,10.3%,15.2%,(X),(X),79.8%,(X),31.9%,(X),25.1%,(X),4.1%,(X),1.6%,(X),7.4%,"2,241,555",2.3%,1.5%,4.0%,5.1%,7.9%,13.7%,12.4%,20.6%,12.7%,19.7%,(X),(X),(X),"1,044,709",(X),(X),(X),(X),(X)
New Mexico,"793,420",8.3%,5.4%,11.4%,10.3%,12.5%,18.0%,12.2%,12.4%,5.0%,4.5%,(X),(X),73.2%,(X),36.1%,(X),25.0%,(X),5.9%,(X),3.6%,(X),16.4%,"496,961",4.8%,3.4%,9.2%,9.8%,12.6%,19.2%,13.8%,14.8%,6.6%,5.8%,(X),(X),(X),"296,459",(X),(X),(X),(X),(X)
New York,"7,446,812",6.7%,4.4%,7.7%,7.2%,10.2%,15.2%,11.9%,16.1%,8.5%,12.1%,(X),(X),76.8%,(X),31.8%,(X),24.5%,(X),6.3%,(X),3.5%,(X),14.1%,"4,636,356",3.7%,2.4%,5.5%,6.0%,9.6%,15.2%,12.8%,18.7%,10.6%,15.5%,(X),(X),(X),"2,810,456",(X),(X),(X),(X),(X)
North Carolina,"4,046,348",6.2%,4.6%,9.6%,9.7%,13.8%,18.0%,12.7%,13.8%,5.5%,6.0%,(X),(X),76.2%,(X),32.7%,(X),25.1%,(X),4.7%,(X),1.5%,(X),11.6%,"2,630,365",3.7%,2.5%,6.5%,8.0%,12.6%,18.7%,14.8%,17.6%,7.3%,8.3%,(X),(X),(X),"1,415,983",(X),(X),(X),(X),(X)
North Dakota,"323,519",5.4%,4.5%,7.8%,8.9%,11.9%,18.6%,13.2%,17.6%,5.7%,6.5%,(X),(X),82.0%,(X),26.7%,(X),19.1%,(X),2.8%,(X),1.7%,(X),6.9%,"189,509",2.5%,1.7%,4.9%,5.8%,9.1%,16.9%,16.7%,24.3%,8.5%,9.7%,(X),(X),(X),"134,010",(X),(X),(X),(X),(X)
Ohio,"4,730,340",6.3%,4.3%,9.5%,9.7%,12.9%,18.8%,13.0%,14.4%,5.7%,5.4%,(X),(X),75.9%,(X),32.2%,(X),27.0%,(X),6.0%,(X),2.4%,(X),12.0%,"2,942,581",3.7%,2.3%,5.9%,7.3%,11.4%,19.4%,15.4%,18.9%,8.0%,7.6%,(X),(X),(X),"1,787,759",(X),(X),(X),(X),(X)
Oklahoma,"1,495,151",6.9%,4.8%,10.1%,10.1%,13.9%,18.8%,12.5%,13.4%,4.8%,4.7%,(X),(X),76.3%,(X),32.0%,(X),22.7%,(X),5.3%,(X),2.9%,(X),12.0%,"975,754",4.1%,2.6%,6.8%,8.9%,13.1%,19.4%,14.9%,17.4%,6.6%,6.2%,(X),(X),(X),"519,397",(X),(X),(X),(X),(X)
Oregon,"1,649,352",5.4%,3.7%,7.5%,8.3%,12.3%,18.2%,13.5%,16.6%,7.5%,7.1%,(X),(X),75.9%,(X),33.4%,(X),25.8%,(X),5.0%,(X),3.1%,(X),13.4%,"1,021,588",2.7%,1.6%,4.8%,6.7%,11.1%,17.9%,15.5%,20.8%,9.6%,9.4%,(X),(X),(X),"627,764",(X),(X),(X),(X),(X)
Pennsylvania,"5,119,249",6.0%,4.1%,8.6%,8.8%,12.3%,17.6%,13.3%,15.5%,6.7%,7.3%,(X),(X),75.3%,(X),35.4%,(X),27.8%,(X),6.0%,(X),3.2%,(X),13.5%,"3,228,224",3.5%,2.0%,4.9%,6.7%,10.9%,17.9%,15.4%,19.7%,9.0%,9.9%,(X),(X),(X),"1,891,025",(X),(X),(X),(X),(X)
Rhode Island,"407,174",5.6%,4.5%,7.7%,7.7%,10.6%,16.7%,14.0%,17.6%,8.1%,7.4%,(X),(X),75.8%,(X),34.1%,(X),25.2%,(X),6.5%,(X),3.9%,(X),14.5%,"249,987",2.8%,2.0%,4.4%,5.3%,9.7%,16.1%,15.8%,21.8%,11.1%,11.0%,(X),(X),(X),"157,187",(X),(X),(X),(X),(X)
South Carolina,"1,975,915",7.2%,4.3%,9.6%,9.5%,13.9%,18.2%,12.6%,13.6%,5.6%,5.4%,(X),(X),74.0%,(X),36.0%,(X),27.3%,(X),4.8%,(X),1.1%,(X),9.9%,"1,286,326",4.2%,2.2%,6.7%,7.9%,13.3%,18.8%,14.6%,17.5%,7.6%,7.2%,(X),(X),(X),"689,589",(X),(X),(X),(X),(X)
South Dakota,"353,799",4.7%,4.3%,9.1%,9.8%,12.9%,20.4%,13.6%,15.3%,5.3%,4.5%,(X),(X),80.6%,(X),31.3%,(X),22.8%,(X),3.5%,(X),1.7%,(X),8.7%,"223,964",3.1%,1.5%,5.5%,6.9%,10.2%,21.1%,17.2%,20.9%,7.3%,6.3%,(X),(X),(X),"129,835",(X),(X),(X),(X),(X)
Tennessee,"2,654,737",6.2%,5.0%,9.7%,10.0%,14.0%,18.5%,12.6%,13.6%,5.1%,5.4%,(X),(X),75.9%,(X),33.5%,(X),24.2%,(X),5.6%,(X),1.6%,(X),11.4%,"1,727,895",3.7%,2.5%,6.6%,8.8%,12.8%,19.2%,15.3%,17.1%,6.8%,7.3%,(X),(X),(X),"926,842",(X),(X),(X),(X),(X)
Texas,"9,985,126",5.9%,3.7%,8.5%,8.5%,12.3%,17.9%,12.7%,15.5%,7.1%,7.9%,(X),(X),82.3%,(X),26.0%,(X),19.1%,(X),4.4%,(X),1.4%,(X),10.8%,"6,857,641",3.9%,2.4%,6.5%,7.5%,11.3%,17.4%,13.9%,18.4%,8.8%,10.1%,(X),(X),(X),"3,127,485",(X),(X),(X),(X),(X)
Utah,"1,023,855",3.6%,2.8%,6.0%,7.1%,10.6%,19.4%,15.9%,19.3%,8.1%,7.3%,(X),(X),84.4%,(X),24.3%,(X),20.8%,(X),3.6%,(X),1.3%,(X),5.5%,"760,968",2.0%,1.4%,4.0%,5.7%,9.1%,19.5%,17.6%,22.7%,9.8%,8.4%,(X),(X),(X),"262,887",(X),(X),(X),(X),(X)
Vermont,"262,767",5.2%,4.4%,7.8%,9.2%,12.3%,19.0%,13.7%,16.3%,6.1%,6.0%,(X),(X),76.5%,(X),36.2%,(X),25.1%,(X),6.0%,(X),2.6%,(X),10.0%,"156,153",2.6%,1.7%,5.0%,6.5%,10.2%,18.2%,15.6%,22.8%,8.9%,8.4%,(X),(X),(X),"106,614",(X),(X),(X),(X),(X)
Virginia,"3,191,847",4.8%,3.2%,7.0%,7.2%,10.7%,16.3%,13.0%,17.0%,9.0%,11.9%,(X),(X),79.3%,(X),30.7%,(X),27.5%,(X),4.1%,(X),1.7%,(X),7.8%,"2,094,763",2.6%,1.6%,4.5%,5.9%,9.3%,15.5%,13.8%,20.0%,11.1%,15.7%,(X),(X),(X),"1,097,084",(X),(X),(X),(X),(X)
Washington,"2,932,477",4.4%,3.0%,6.5%,6.6%,10.5%,16.9%,13.3%,18.3%,9.1%,11.4%,(X),(X),78.8%,(X),29.7%,(X),25.0%,(X),4.5%,(X),2.5%,(X),10.6%,"1,882,896",2.6%,1.5%,4.0%,5.1%,9.0%,16.0%,14.7%,21.2%,11.4%,14.5%,(X),(X),(X),"1,049,581",(X),(X),(X),(X),(X)
West Virginia,"728,175",8.5%,5.9%,11.4%,10.8%,14.5%,17.7%,12.1%,12.1%,3.6%,3.4%,(X),(X),67.9%,(X),41.8%,(X),29.4%,(X),8.0%,(X),3.0%,(X),16.9%,"470,472",4.9%,3.1%,7.4%,9.8%,14.6%,20.2%,14.7%,15.8%,4.9%,4.5%,(X),(X),(X),"257,703",(X),(X),(X),(X),(X)
Wisconsin,"2,386,623",4.4%,4.0%,8.4%,8.7%,13.1%,19.0%,14.2%,16.8%,6.1%,5.2%,(X),(X),76.9%,(X),32.3%,(X),26.3%,(X),4.6%,(X),1.6%,(X),9.4%,"1,470,116",2.3%,1.7%,4.7%,6.3%,10.6%,19.2%,16.9%,22.2%,8.7%,7.4%,(X),(X),(X),"916,507",(X),(X),(X),(X),(X)
Wyoming,"233,128",5.0%,4.1%,8.2%,8.6%,10.5%,20.5%,15.2%,16.6%,6.4%,5.0%,(X),(X),78.1%,(X),31.8%,(X),24.4%,(X),3.6%,(X),1.8%,(X),4.7%,"152,859",3.0%,1.6%,5.1%,6.1%,9.9%,20.7%,18.1%,21.0%,8.1%,6.4%,(X),(X),(X),"80,269",(X),(X),(X),(X),(X)
