,    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),        Less than 20.0 percent,        20.0 to 24.9 percent,        25.0 to 29.9 percent,        30.0 to 34.9 percent,        35.0 percent or more,        Not computed,    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),        Less than 10.0 percent,        10.0 to 14.9 percent,        15.0 to 19.9 percent,        20.0 to 24.9 percent,        25.0 to 29.9 percent,        30.0 to 34.9 percent,        35.0 percent or more,        Not computed
Montana,"166,220","72,760","28,222","16,970","12,532","35,736",720,"133,249","64,143","25,832","14,515","7,466","4,761","3,261","13,271","1,267"
Nebraska,"303,540","160,601","52,860","30,570","18,490","41,019",701,"204,479","92,188","43,420","23,398","12,908","8,826","5,860","17,879","2,650"
Nevada,"433,684","191,805","68,434","49,788","32,735","90,922","2,637","207,313","118,962","32,542","16,736","10,262","7,205","4,758","16,848","3,884"
New Hampshire,"248,532","107,121","41,715","27,075","20,889","51,732",917,"133,370","42,225","28,745","16,587","11,455","7,784","6,674","19,900","1,347"
New Jersey,"1,362,491","523,555","235,706","159,156","108,246","335,828","3,790","709,986","213,170","142,569","95,934","60,486","42,426","28,371","127,030","5,531"
New Mexico,"283,424","132,205","43,665","29,064","17,122","61,368","2,250","249,725","135,845","38,760","25,581","15,750","7,483","5,815","20,491","4,653"
New York,"2,365,471","1,039,155","341,536","240,622","166,886","577,272","8,991","1,593,113","629,579","302,742","180,133","120,877","75,097","53,485","231,200","17,941"
North Carolina,"1,661,456","882,074","241,070","150,901","92,820","294,591","8,950","959,608","490,217","181,069","94,111","57,607","35,740","24,982","75,882","12,695"
North Dakota,"103,057","59,711","16,350","10,115","4,238","12,643",298,"94,287","52,931","16,701","8,601","4,660","3,278","1,579","6,537",769
Ohio,"1,933,709","1,101,219","276,771","173,248","104,063","278,408","6,491","1,170,675","540,901","254,157","129,738","75,441","46,882","28,829","94,727","12,858"
Oklahoma,"531,116","290,758","82,186","48,873","27,685","81,614","2,029","441,911","222,685","88,094","44,087","27,368","17,072","10,994","31,611","4,842"
Oregon,"682,610","287,198","114,894","83,353","51,328","145,837","2,587","348,325","151,822","68,562","40,974","22,461","16,158","10,165","38,183","3,603"
Pennsylvania,"2,061,425","1,067,527","311,013","199,351","124,255","359,279","8,146","1,418,140","618,270","276,888","163,316","100,067","68,931","46,555","144,113","14,113"
Rhode Island,"166,074","69,044","29,225","19,389","13,723","34,693",496,"83,922","31,231","19,238","9,345","6,460","4,679","2,750","10,219",654
South Carolina,"800,152","427,323","113,969","70,292","43,763","144,805","4,829","575,105","303,037","105,800","57,177","30,021","20,160","12,942","45,968","8,406"
South Dakota,"133,288","68,486","22,219","12,557","8,079","21,947",107,"105,884","50,932","21,916","11,076","7,543","4,246","2,192","7,979",652
Tennessee,"1,025,021","540,524","157,289","93,064","62,037","172,107","3,217","729,450","387,645","137,591","72,206","42,165","24,873","15,313","49,657","8,032"
Texas,"3,452,907","1,621,707","558,319","354,458","243,876","674,547","12,041","2,678,920","1,230,207","551,909","292,313","171,333","108,272","76,126","248,760","35,410"
Utah,"504,903","240,590","85,023","56,226","37,810","85,254","1,787","214,960","136,500","32,918","16,136","8,754","4,874","4,784","10,994","1,638"
Vermont,"114,242","49,312","19,841","15,352","7,692","22,045",611,"70,962","23,863","14,432","9,728","6,597","3,749","3,324","9,269",437
Virginia,"1,424,420","690,650","236,120","147,906","96,331","253,413","4,924","674,578","370,653","114,684","63,715","37,617","24,914","14,194","48,801","6,791"
Washington,"1,248,507","522,552","214,092","152,962","100,982","257,919","4,388","590,984","281,949","116,837","65,928","37,084","23,310","14,522","51,354","5,813"
West Virginia,"246,383","146,428","30,581","19,839","11,287","38,248","1,412","282,749","161,240","51,486","25,295","13,350","8,179","5,210","17,989","4,024"
Wisconsin,"1,003,616","530,447","161,286","98,097","58,449","155,337","2,121","593,837","259,857","131,950","67,613","38,934","25,867","15,589","54,027","4,332"
Wyoming,"98,668","51,947","15,068","9,391","7,153","15,109",525,"67,566","37,771","11,519","6,123","2,841","2,792","1,300","5,220",823
