,    Housing units with a mortgage,        Less than $500,        $500 to $999,"        $1,000 to $1,499","        $1,500 to $1,999","        $2,000 to $2,499","        $2,500 to $2,999","        $3,000 or more",        Median (dollars),    Housing units without a mortgage,        Less than $250,        $250 to $399,        $400 to $599,        $600 to $799,        $800 to $999,"        $1,000 or more",        Median (dollars)
New Mexico,"285,674",2.0%,26.0%,38.4%,19.4%,7.9%,3.0%,3.3%,(X),"254,378",28.1%,32.5%,24.7%,9.3%,3.0%,2.5%,(X)
New York,"2,374,462",0.9%,11.3%,18.7%,15.1%,13.0%,11.7%,29.3%,(X),"1,611,054",7.9%,10.9%,17.4%,15.5%,12.9%,35.5%,(X)
North Carolina,"1,670,406",1.7%,25.4%,33.7%,19.8%,9.6%,4.7%,5.0%,(X),"972,303",16.4%,34.1%,30.2%,11.4%,4.4%,3.3%,(X)
North Dakota,"103,355",0.9%,17.5%,36.9%,24.2%,11.4%,4.9%,4.1%,(X),"95,056",11.1%,22.1%,37.7%,18.3%,6.4%,4.4%,(X)
Ohio,"1,940,200",2.0%,28.6%,34.8%,18.7%,8.2%,3.7%,4.0%,(X),"1,183,533",9.2%,25.7%,34.5%,17.0%,7.4%,6.3%,(X)
Oklahoma,"533,145",2.2%,28.7%,36.1%,18.2%,7.1%,3.7%,3.9%,(X),"446,753",17.5%,32.0%,30.2%,12.5%,4.2%,3.5%,(X)
Oregon,"685,197",0.7%,9.9%,25.4%,26.6%,17.5%,9.7%,10.2%,(X),"351,928",8.0%,16.9%,32.0%,24.0%,10.0%,9.0%,(X)
Pennsylvania,"2,069,571",1.4%,20.1%,29.9%,21.6%,12.6%,6.7%,7.8%,(X),"1,432,253",6.9%,20.7%,32.7%,20.7%,9.8%,9.2%,(X)
Rhode Island,"166,570",0.6%,5.3%,22.6%,30.6%,20.1%,10.6%,10.2%,(X),"84,576",2.3%,4.1%,20.9%,31.9%,18.6%,22.1%,(X)
South Carolina,"804,981",1.7%,28.3%,35.3%,17.3%,8.8%,4.0%,4.7%,(X),"583,511",19.3%,37.4%,27.9%,9.1%,3.2%,3.1%,(X)
South Dakota,"133,395",1.4%,20.8%,37.0%,22.9%,9.5%,3.7%,4.6%,(X),"106,536",8.6%,21.5%,39.1%,18.3%,7.3%,5.1%,(X)
Tennessee,"1,028,238",1.7%,28.6%,34.2%,18.0%,8.9%,4.0%,4.6%,(X),"737,482",17.1%,36.2%,29.3%,10.4%,3.5%,3.5%,(X)
Texas,"3,464,948",0.9%,13.4%,26.3%,24.6%,14.7%,8.3%,11.9%,(X),"2,714,330",11.6%,21.0%,26.3%,17.9%,9.8%,13.4%,(X)
Utah,"506,690",1.1%,10.7%,31.7%,28.0%,15.1%,6.9%,6.5%,(X),"216,598",11.3%,31.7%,36.8%,12.0%,4.4%,3.9%,(X)
Vermont,"114,853",1.2%,10.6%,31.9%,28.3%,14.4%,7.8%,5.8%,(X),"71,399",3.6%,9.9%,26.4%,27.4%,15.1%,17.6%,(X)
Virginia,"1,429,344",1.3%,12.7%,23.0%,21.1%,14.8%,10.6%,16.6%,(X),"681,369",12.6%,25.3%,27.5%,15.7%,9.4%,9.5%,(X)
Washington,"1,252,895",0.6%,7.5%,19.4%,24.9%,17.8%,11.7%,18.1%,(X),"596,797",7.1%,14.5%,27.9%,22.8%,13.5%,14.1%,(X)
West Virginia,"247,795",4.3%,41.3%,33.5%,12.7%,4.4%,1.9%,1.9%,(X),"286,773",29.4%,40.8%,22.2%,5.9%,1.2%,0.6%,(X)
Wisconsin,"1,005,737",0.9%,19.8%,35.5%,23.6%,10.7%,4.8%,4.6%,(X),"598,169",4.7%,16.9%,39.2%,22.7%,9.4%,7.0%,(X)
Wyoming,"99,193",1.0%,16.3%,38.8%,24.7%,10.4%,5.4%,3.4%,(X),"68,389",13.8%,33.1%,30.9%,14.8%,4.6%,3.0%,(X)
