,    Total housing units,        Built 2014 or later,        Built 2010 to 2013,        Built 2000 to 2009,        Built 1990 to 1999,        Built 1980 to 1989,        Built 1970 to 1979,        Built 1960 to 1969,        Built 1950 to 1959,        Built 1940 to 1949,        Built 1939 or earlier
North Carolina,"4,748,148",6.3%,3.9%,18.2%,19.4%,14.9%,13.5%,8.7%,6.8%,3.3%,5.0%
North Dakota,"379,974",9.0%,7.7%,10.8%,10.0%,11.1%,17.3%,8.2%,8.7%,4.4%,12.8%
Ohio,"5,232,943",2.8%,1.6%,9.1%,11.9%,9.0%,14.2%,11.7%,13.9%,5.9%,19.9%
Oklahoma,"1,749,520",5.0%,3.7%,12.9%,11.7%,14.6%,18.5%,11.2%,10.1%,4.9%,7.6%
Oregon,"1,808,482",4.5%,2.3%,13.8%,16.8%,11.0%,18.4%,9.1%,7.9%,5.0%,11.1%
Pennsylvania,"5,732,580",2.5%,1.5%,7.9%,9.4%,9.7%,12.5%,10.1%,13.5%,7.1%,25.9%
Rhode Island,"470,177",1.1%,0.7%,5.3%,7.4%,11.7%,11.9%,12.2%,12.6%,6.8%,30.3%
South Carolina,"2,351,364",7.7%,3.9%,18.3%,18.4%,15.8%,13.9%,8.9%,6.3%,2.9%,3.9%
South Dakota,"401,749",6.3%,3.8%,13.6%,12.9%,10.0%,15.4%,8.2%,8.7%,4.2%,16.8%
Tennessee,"3,028,437",6.2%,3.2%,15.7%,17.5%,13.9%,15.1%,10.1%,8.5%,4.3%,5.6%
Texas,"11,283,892",9.0%,4.9%,17.7%,14.6%,16.0%,14.5%,8.9%,7.6%,3.2%,3.4%
Utah,"1,133,543",8.9%,4.7%,19.0%,16.8%,12.2%,15.1%,6.9%,6.6%,3.1%,6.8%
Vermont,"339,412",2.9%,2.3%,11.0%,10.7%,15.5%,15.6%,8.3%,5.6%,2.9%,25.1%
Virginia,"3,562,258",4.8%,3.1%,14.7%,15.2%,16.4%,15.3%,10.6%,8.5%,4.2%,7.3%
Washington,"3,195,098",6.2%,3.3%,14.5%,16.4%,12.8%,15.9%,9.5%,7.1%,4.7%,9.7%
West Virginia,"894,983",2.4%,2.2%,9.6%,13.8%,12.7%,15.4%,9.3%,10.5%,7.5%,16.6%
Wisconsin,"2,725,153",3.4%,1.8%,12.0%,14.0%,9.8%,14.5%,9.6%,10.7%,5.5%,18.6%
Wyoming,"280,281",4.2%,3.5%,13.9%,13.3%,14.5%,18.6%,7.2%,8.8%,5.6%,10.4%
